id,y_true,y_pred,absolute_error
1730989865.935115,219.0,140.02257609736603,78.97742390263397
1730989875.970814,171.0,177.17568486302878,6.175684863028778
1730989886.026824,90.0,136.93198963427244,46.93198963427244
1730989896.151652,60.0,133.8553499988637,73.85534999886369
1730989906.378955,143.0,66.57393755401368,76.42606244598632
1730989916.416887,52.0,61.12866809465129,9.128668094651289
1730989926.456874,72.0,60.94350778652718,11.056492213472822
1730989936.51004,170.0,104.08374518466498,65.91625481533502
1730989946.549298,85.0,58.37882693745456,26.621173062545438
1730989956.586068,170.0,104.08374518466498,65.91625481533502
1730989966.625138,128.0,168.2136323571602,40.21363235716021
